"provincia","cuenca","areayacimiento","prod_gas"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","56739.23"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","67172.55"
"Estado Nacional","AUSTRAL","CARINA-FENIX-ORION-ORION NORTE-ORION OESTE","36108.24"
"Estado Nacional","AUSTRAL","MAGALLANES","3814.26"
"Estado Nacional","AUSTRAL","MAGALLANES","37.36"
"Estado Nacional","AUSTRAL","MAGALLANES","1305.73"
"Estado Nacional","AUSTRAL","MAGALLANES","8.41"
"Estado Nacional","AUSTRAL","MAGALLANES","7072.76"
"Estado Nacional","AUSTRAL","MAGALLANES","7740.79"
"Estado Nacional","AUSTRAL","MAGALLANES","6940.56"
"Estado Nacional","AUSTRAL","MAGALLANES","10.42"
"Estado Nacional","AUSTRAL","MAGALLANES","7138.40"
"Estado Nacional","AUSTRAL","MAGALLANES","5940.57"
"Estado Nacional","AUSTRAL","MAGALLANES","3818.45"
"Estado Nacional","AUSTRAL","MAGALLANES","1575.37"
"Estado Nacional","AUSTRAL","MAGALLANES","6053.73"
"Estado Nacional","AUSTRAL","MAGALLANES","727.74"
"Estado Nacional","AUSTRAL","MAGALLANES","1190.66"
"Estado Nacional","AUSTRAL","MAGALLANES","7902.16"
"Estado Nacional","AUSTRAL","MAGALLANES","6645.20"
"Estado Nacional","AUSTRAL","MAGALLANES","62.15"
"Estado Nacional","AUSTRAL","MAGALLANES","3701.89"
"Estado Nacional","AUSTRAL","MAGALLANES","3694.81"
"Estado Nacional","AUSTRAL","MAGALLANES","6520.99"
"Estado Nacional","AUSTRAL","MAGALLANES","7992.27"
"Estado Nacional","AUSTRAL","MAGALLANES","6725.42"
"Estado Nacional","AUSTRAL","MAGALLANES","603.01"
"Estado Nacional","AUSTRAL","MAGALLANES","67.63"
"Estado Nacional","AUSTRAL","MAGALLANES","30.96"
"Estado Nacional","AUSTRAL","MAGALLANES","4203.77"
"Estado Nacional","AUSTRAL","MAGALLANES","7445.98"
"Estado Nacional","AUSTRAL","MAGALLANES","191.16"
"Estado Nacional","AUSTRAL","MAGALLANES","7134.43"
"Estado Nacional","AUSTRAL","MAGALLANES","7755.32"
"Estado Nacional","AUSTRAL","MAGALLANES","6713.85"
"Estado Nacional","AUSTRAL","MAGALLANES","7489.76"
"Estado Nacional","AUSTRAL","MAGALLANES","7160.60"
"Estado Nacional","AUSTRAL","MAGALLANES","350.79"
"Estado Nacional","AUSTRAL","MAGALLANES","4199.28"
"Estado Nacional","AUSTRAL","MAGALLANES","7413.91"
"Estado Nacional","AUSTRAL","MAGALLANES","8055.60"
"Estado Nacional","AUSTRAL","MAGALLANES","8260.02"
"Estado Nacional","AUSTRAL","MAGALLANES","7205.62"
"Estado Nacional","AUSTRAL","MAGALLANES","4145.14"
"Estado Nacional","AUSTRAL","MAGALLANES","156.29"
"Estado Nacional","AUSTRAL","MAGALLANES","3892.26"
