"areayacimiento","avg_pet"
"LA ESCALONADA","5198.5818150000000000"
"BAJADA DEL PALO ESTE","3570.1207666666666667"
"RINCON DE ARANDA","3182.7882500000000000"
"LOMA COLORADA","2829.6177401129943503"
"BAJADA DEL PALO OESTE","2604.3179505494505495"
"MATA MORA NORTE","2056.9842085000000000"
"BAJO DEL CHOIQUE","2052.1878518518518519"
"BANDURRIA SUR","2001.5551926977687627"
"LOS TOLDOS ESTE","1980.5507400000000000"
"COIRON AMARGO SUR ESTE","1869.5226822134146341"
