"mes","avg_prod"
"1","2674.6846338028169014"
"2","2133.3250394736842105"
"3","2281.9359750000000000"
"4","2577.4919000000000000"
"5","2579.5245238095238095"
"6","2628.7068295454545455"
"7","2546.1756451612903226"
"8","2313.2252680412371134"
"9","2459.7047900000000000"
