"idpozo","mediana_gas","mediana_zscore"
"10464","73366.523333333333","49.40547810475078340370018300715720178122"
"10465","69947.563333333333","47.09618960887790716843163032343062571017"
"154796","67839.410000000000","45.67226705927138249085847448012141459544"
"153796","57421.122222222222","38.63538095591971569677491358301228467788"
"155876","55306.654555555556","37.20719347857909255119543494042221695467"
"156516","39878.906555555556","26.78673785066131211711257257021100754388"
"165693","36108.240000000000","24.23989410328870524097358525612223975027"
"10304","22442.481111111111","15.00954926465835840583496493418734302360"
"162424","19371.848888888889","12.93553387230678277899558854435158721672"
"10281","18496.446666666667","12.34425574064120935690519573662766997727"
"131705","17645.192222222222","11.76928788620120070019540322043991502686"
"34585","17244.006666666667","11.49831273932764467287854841603704799444"
"10306","15907.826666666667","10.59580873155469039203257925437918232341"
"10284","15128.944444444444","10.06972367779048171659851489303465797606"
"165339","15125.329400000000","10.06728194681158032301472994514322258040"
"165073","14405.723500000000","9.58123425206456737496355689963509200048"
"165340","14134.061800000000","9.39774417362572382547404693795062538178"
"165202","14104.536857142857","9.37780196579606098954174864429707841266"
"165341","13878.248800000000","9.22495887692885457623663138828577215025"
"165455","13739.593250000000","9.13130593378125226896100062043061021366"
"153510","13679.998888888889","9.09105375986497866320794797737533946593"
"165203","13666.482428571429","9.08192425664878620827246459104787890423"
"164499","13175.090000000000","8.75002014479634158803555469162188641944"
"164588","12991.641111111111","8.62611217023923281228445587720203924836"
"164215","12841.141111111111","8.52445905975274924026023881151514917106"
"165451","12798.350750000000","8.49555691154155782682808280348846646891"
"164500","12677.266333333333","8.41377214353087291296450378285452116885"
"165342","12570.584200000000","8.34171519544670610037205331842118186335"
"165204","12333.381142857143","8.18149972318441684195966477156620513454"
"79164","12142.381444444444","8.05249166042274858493498138905435571733"
"165205","11934.359571428571","7.91198620898562037714427424357341661407"
"159941","11915.794444444444","7.89944665480280936145158423116202773098"
"34663","11878.632222222222","7.87434595392919600190989383633763699251"
"165072","11523.951700000000","7.63478197842847010571001765063025841596"
"155076","11451.397777777778","7.58577645104054126021477587292433473696"
"165071","11437.253200000000","7.57622269471077976704462507076677111119"
"10305","11423.959555555556","7.56724368934546986914061695150020525505"
"164216","11166.839888888889","7.39357582300716758423911517614876817169"
"164353","11154.710800000000","7.38538340032994098963402608166290685221"
"163435","11153.762111111111","7.38474262174894749090042905681960836209"
"165335","10994.7085000000000000","7.27731209481504736547395707030640524280"
"130262","10985.9666666666666667","7.27140754631213867241056591935142952691"
"165333","10867.3406666666666667","7.19128328129838717596575014769579482718"
"164629","10721.0195000000000000","7.09245270507461412730959863515172578521"
"163188","10676.0376666666666667","7.06207035774094022062389767382802650520"
"164006","10672.6433000000000000","7.05977768046653288759559245832061527520"
"164147","10488.0757777777777778","6.93511414074113709031768064268097046422"
"164902","10486.1103333333333333","6.93378660890548156583961761154406725376"
"165334","10473.0983333333333333","6.92499783632308871375204875799776948840"
"165020","10450.5631250000000000","6.90977674647229629749749790559150535112"
"164498","10439.7182111111111111","6.90245170175625893904592508320084975965"
"165219","10396.0638750000000000","6.87296599377010035189855563371684592225"
"164903","10373.6408888888888889","6.85782070284259427629202579219012682667"
"165021","10260.7897500000000000","6.78159698662998480683243973756494174166"
"164155","10218.5440000000000000","6.75306268834204883764412034817795213048"
"164415","9983.6570000000000000","6.59441156433647630088629793018461957508"
"164904","9938.7202222222222222","6.56405964914477527651027273114968813111"
"163294","9888.0104444444444444","6.52980844221328375604590331204691338870"
"164780","9813.6234444444444444","6.47956478819495781935377417672963304199"
"162835","9805.7892222222222222","6.47427327286518226845212523109105700244"
"164236","9737.7558000000000000","6.42832105368957334978303277727508406494"
"164208","9663.0432222222222222","6.37785749273559034837126882405756324181"
"165556","9633.0876666666666667","6.35762443360886021103813562294336201269"
"165084","9570.9624444444444444","6.31566282511349210459650814764892584565"
"164169","9563.7962222222222222","6.31082250099836752396802981330522583648"
"163322","9533.6700000000000000","6.29047416746949103095632208475440957365"
"164235","9482.7156000000000000","6.25605773389492306735266250965915328292"
"164628","9472.9009000000000000","6.24942853267570917822079484697080032583"
"165442","9439.9472250000000000","6.22717043589357847041132546948176758585"
"164355","9430.4753000000000000","6.22077275723215198597314950782126063372"
"163797","9401.0870000000000000","6.20092284290052457627401795704700128715"
"164779","9396.8135555555555556","6.19803640489209294492398221502899945676"
"165555","9388.1870000000000000","6.19220971914454027010051363713098213766"
"164864","9331.2078000000000000","6.15372391905795259736242547082409544602"
"163323","9273.3900000000000000","6.11467169838363093709277910896049761804"
"165221","9255.6147500000000000","6.10266565551203713567335409635683720045"
"164248","9234.8168888888888889","6.08861803243289881166141465854356931574"
"164717","9193.8491000000000000","6.06094691502220674337835354616917300043"
"164146","9157.9246666666666667","6.03668226126275394171093925362123742929"
"164171","9141.9236666666666667","6.02587461062558302054177315881687910287"
"163189","9136.4921111111111111","6.02220594273852413317755623224689908475"
"164099","9066.8699000000000000","5.97518059843027787434993186093815138911"
"165079","9060.5366666666666667","5.97090290495672296422061067160718526419"
"164004","9008.2913000000000000","5.93561450608513816290688998848601810617"
"164863","8951.1142000000000000","5.89699503722403038984386100784491589594"
"164156","8904.4361000000000000","5.86546697040277371992157790742073500746"
"165331","8888.3420000000000000","5.85459643667865069496134566903620758159"
"163436","8790.6554444444444444","5.78861542521730249240048990263271232041"
"164597","8765.2518888888888889","5.77145695053531968543183667549197769349"
"165082","8628.4336666666666667","5.67904500462090229364001089264039281852"
"164022","8532.0040000000000000","5.61391294110036110633699044808780202434"
"164097","8387.0992888888888889","5.51603908988049558165612274623039451312"
"163700","8367.1171000000000000","5.50254240114372477349978196378077428024"
"164258","8316.6000000000000000","5.46842133571012517711237614365445404951"
"163796","8304.2533333333333333","5.46008195317984975849050017441183520464"
"165075","8294.0045555555555556","5.45315956022439552578474767686890936201"
"164024","8287.3980000000000000","5.44869725509599698262565729480270279345"
"165408","8281.3155000000000000","5.44458891592965787081942938581904492704"
"163546","8251.4407777777777778","5.42441045454222556796296478412550609182"
"165407","8207.2031750000000000","5.39453078728091914260002949849191439117"
