"idpozo","prod_pet","fecha_data"
"164941","0","2024-01-31"
"164941","749.454","2024-02-29"
"164941","13349.109","2024-04-30"
"164941","6743.497","2024-03-31"
"164941","18034.332","2024-07-31"
"164941","14528.627","2024-08-31"
"164941","14645.788","2024-05-31"
"164941","14135.351","2024-06-30"
"164941","16436.799","2024-09-30"
