"provincia","prod_pet"
"Santa Cruz","4.631"
"Santa Cruz","4.638"
"Santa Cruz","4.645"
"Santa Cruz","4.667"
"Santa Cruz","4.708"
"Santa Cruz","4.719"
"Santa Cruz","4.72"
"Santa Cruz","4.729"
"Santa Cruz","4.736"
"Santa Cruz","4.74"
"Santa Cruz","4.773"
"Santa Cruz","4.800"
"Santa Cruz","4.808"
"Santa Cruz","4.810"
"Santa Cruz","4.823"
"Santa Cruz","4.828"
"Santa Cruz","4.838"
"Santa Cruz","4.849"
"Santa Cruz","4.854"
"Santa Cruz","4.906"
"Santa Cruz","4.907"
"Santa Cruz","4.919"
"Santa Cruz","4.943"
"Santa Cruz","4.951"
"Santa Cruz","4.980"
"Santa Cruz","4.983"
"Santa Cruz","4.999"
"Santa Cruz","5.006"
"Santa Cruz","5.024"
"Santa Cruz","5.028"
"Santa Cruz","5.029"
"Santa Cruz","5.044"
"Santa Cruz","5.051"
"Santa Cruz","5.060"
"Santa Cruz","5.076"
"Santa Cruz","5.092"
"Santa Cruz","5.110"
"Santa Cruz","5.113"
"Santa Cruz","5.128"
"Santa Cruz","5.155"
"Santa Cruz","5.156"
"Santa Cruz","5.195"
"Santa Cruz","5.197"
"Santa Cruz","5.204"
"Santa Cruz","5.220"
"Santa Cruz","5.229"
"Santa Cruz","5.235"
"Santa Cruz","5.245"
"Santa Cruz","5.265"
"Santa Cruz","5.266"
"Santa Cruz","5.279"
"Santa Cruz","5.287"
"Santa Cruz","5.291"
"Santa Cruz","5.292"
"Santa Cruz","5.295"
"Santa Cruz","5.300"
"Santa Cruz","5.302"
"Santa Cruz","5.325"
"Santa Cruz","5.332"
"Santa Cruz","5.338"
"Santa Cruz","5.354"
"Santa Cruz","5.356"
"Santa Cruz","5.357"
"Santa Cruz","5.383"
"Santa Cruz","5.394"
"Santa Cruz","5.397"
"Santa Cruz","5.408"
"Santa Cruz","5.412"
"Santa Cruz","5.420"
"Santa Cruz","5.440"
"Santa Cruz","5.464"
"Santa Cruz","5.468"
"Santa Cruz","5.486"
"Santa Cruz","5.489"
"Santa Cruz","5.490"
"Santa Cruz","5.491"
"Santa Cruz","5.509"
"Santa Cruz","5.514"
"Santa Cruz","5.516"
"Santa Cruz","5.520"
"Santa Cruz","5.526"
"Santa Cruz","5.527"
"Santa Cruz","5.536"
"Santa Cruz","5.546"
"Santa Cruz","5.564"
"Santa Cruz","5.565"
"Santa Cruz","5.586"
"Santa Cruz","5.588"
"Santa Cruz","5.590"
"Santa Cruz","5.600"
"Santa Cruz","5.618"
"Santa Cruz","5.634"
"Santa Cruz","5.635"
"Santa Cruz","5.651"
"Santa Cruz","5.652"
"Santa Cruz","5.657"
"Santa Cruz","5.667"
"Santa Cruz","5.688"
"Santa Cruz","5.701"
"Santa Cruz","5.721"
"Santa Cruz","5.735"
"Santa Cruz","5.737"
"Santa Cruz","5.744"
"Santa Cruz","5.749"
"Santa Cruz","5.752"
"Santa Cruz","5.760"
"Santa Cruz","5.765"
"Santa Cruz","5.769"
"Santa Cruz","5.772"
"Santa Cruz","5.784"
"Santa Cruz","5.799"
"Santa Cruz","5.803"
"Santa Cruz","5.811"
"Santa Cruz","5.845"
"Santa Cruz","5.867"
"Santa Cruz","5.868"
"Santa Cruz","5.888"
"Santa Cruz","5.907"
"Santa Cruz","5.925"
"Santa Cruz","5.935"
"Santa Cruz","5.937"
"Santa Cruz","5.938"
"Santa Cruz","5.944"
"Santa Cruz","5.975"
"Santa Cruz","5.982"
"Santa Cruz","5.995"
"Santa Cruz","6.010"
"Santa Cruz","6.017"
"Santa Cruz","6.076"
"Santa Cruz","6.098"
"Santa Cruz","6.110"
"Santa Cruz","6.131"
"Santa Cruz","6.147"
"Santa Cruz","6.150"
"Santa Cruz","6.173"
"Santa Cruz","6.189"
"Santa Cruz","6.205"
"Santa Cruz","6.230"
"Santa Cruz","6.284"
"Santa Cruz","6.306"
"Santa Cruz","6.325"
"Santa Cruz","6.327"
"Santa Cruz","6.374"
"Santa Cruz","6.375"
"Santa Cruz","6.390"
"Santa Cruz","6.391"
"Santa Cruz","6.405"
"Santa Cruz","6.434"
"Santa Cruz","6.451"
"Santa Cruz","6.492"
"Santa Cruz","6.518"
"Santa Cruz","6.522"
"Santa Cruz","6.538"
"Santa Cruz","6.540"
"Santa Cruz","6.544"
"Santa Cruz","6.563"
"Santa Cruz","6.574"
"Santa Cruz","6.590"
"Santa Cruz","6.597"
"Santa Cruz","6.614"
"Santa Cruz","6.615"
"Santa Cruz","6.616"
"Santa Cruz","6.643"
"Santa Cruz","6.657"
"Santa Cruz","6.660"
"Santa Cruz","6.663"
"Santa Cruz","6.665"
"Santa Cruz","6.673"
"Santa Cruz","6.677"
"Santa Cruz","6.682"
"Santa Cruz","6.743"
"Santa Cruz","6.749"
"Santa Cruz","6.756"
"Santa Cruz","6.760"
"Santa Cruz","6.764"
"Santa Cruz","6.776"
"Santa Cruz","6.783"
"Santa Cruz","6.814"
"Santa Cruz","6.823"
"Santa Cruz","6.827"
"Santa Cruz","6.851"
"Santa Cruz","6.853"
"Santa Cruz","6.862"
"Santa Cruz","6.877"
"Santa Cruz","6.882"
"Santa Cruz","6.914"
"Santa Cruz","6.925"
"Santa Cruz","6.929"
"Santa Cruz","6.944"
"Santa Cruz","6.956"
"Santa Cruz","6.986"
"Santa Cruz","6.989"
"Santa Cruz","6.991"
"Santa Cruz","7.007"
"Santa Cruz","7.009"
"Santa Cruz","7.031"
"Santa Cruz","7.034"
"Santa Cruz","7.044"
"Santa Cruz","7.057"
"Santa Cruz","7.059"
"Santa Cruz","7.105"
"Santa Cruz","7.116"
"Santa Cruz","7.119"
"Santa Cruz","7.131"
"Santa Cruz","7.147"
"Santa Cruz","7.149"
"Santa Cruz","7.158"
"Santa Cruz","7.159"
"Santa Cruz","7.166"
"Santa Cruz","7.170"
"Santa Cruz","7.181"
"Santa Cruz","7.182"
"Santa Cruz","7.186"
"Santa Cruz","7.187"
"Santa Cruz","7.193"
"Santa Cruz","7.209"
"Santa Cruz","7.213"
"Santa Cruz","7.218"
"Santa Cruz","7.221"
"Santa Cruz","7.222"
"Santa Cruz","7.232"
"Santa Cruz","7.263"
"Santa Cruz","7.277"
"Santa Cruz","7.322"
"Santa Cruz","7.335"
"Santa Cruz","7.346"
"Santa Cruz","7.349"
"Santa Cruz","7.352"
"Santa Cruz","7.355"
"Santa Cruz","7.393"
"Santa Cruz","7.405"
